City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
688,Thai Binh,VN,84.2,few clouds,20.45,106.33,Hội Liên Hiệp Phụ Nữ Tỉnh Thái Bình
691,Mutsu,JP,84.99,few clouds,41.29,141.22,Mutsu Park Hotel
692,Abonnema,NG,75.2,broken clouds,4.71,6.79,Corper's Lodge Obonoma
693,Bantva,IN,79.54,moderate rain,21.49,70.07,Jay gatrad ma
696,Khalimbekaul,RU,77.0,few clouds,42.85,47.14,Mika Tsentr
699,Enshi,CN,75.72,clear sky,30.3,109.48,Moevenpick Enshi
701,Hambantota,LK,79.72,overcast clouds,6.12,81.12,Bungalow 63
702,Chibuto,MZ,70.5,clear sky,-24.69,33.53,Hotel Mar Da Zinha
704,Coari,BR,77.16,light rain,-4.08,-63.14,HOTEL ALEX FLAT
705,Wanning,CN,81.5,broken clouds,18.8,110.4,Paradise Hotel
708,Caravelas,BR,70.52,clear sky,-17.71,-39.25,Pousada dos Navegantes
711,Islampur,IN,79.7,light rain,26.27,88.2,Subham Hotel & Lodge
713,Zhanaozen,KZ,74.25,clear sky,43.3,52.8,K.korabay 28A
715,San Blas,MX,75.2,overcast clouds,21.52,-105.27,Hotel Posada del Rey
