City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
176,Kapit,MY,77.31,overcast clouds,2.02,112.93,Hotel Meligai Kapit
177,Naze,JP,86.0,few clouds,28.37,129.48,奄美ポートタワーホテル
178,Pimenta Bueno,BR,89.06,overcast clouds,-11.67,-61.19,Cristalina Palace Hotel
179,Algiers,DZ,73.4,clear sky,36.75,3.04,Sofitel Algiers Hamma Garden
181,Isla Mujeres,MX,87.8,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
182,Pacific Grove,US,70.0,clear sky,36.62,-121.92,Lovers Point Inn
184,Porto Novo,BJ,77.0,broken clouds,6.5,2.6,Tour Eiffel Hotel Benin
185,Port Hedland,AU,71.6,few clouds,-20.32,118.57,The Esplanade Hotel
186,Riohacha,CO,84.51,clear sky,11.54,-72.91,Hotel Taroa
189,Ugoofaaru,MV,83.03,broken clouds,5.67,73.0,Ungoofaaru Inn
190,Gat,IL,79.0,clear sky,31.61,34.76,רגע בנחת
191,Nouadhibou,MR,77.0,broken clouds,20.93,-17.03,El Medina
192,Salar,ES,79.0,scattered clouds,37.15,-4.02,Cortijo de Tajar Hotel
193,Isangel,VU,79.5,few clouds,-19.55,169.27,Volcano Sea View Tree House
194,Escarcega,MX,80.33,overcast clouds,18.61,-90.75,Hotel Maria Isabel
195,Victoria,HK,86.0,broken clouds,22.29,114.16,Mini Hotel Central
198,Bengkulu,ID,76.39,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
201,Salalah,OM,75.2,heavy intensity drizzle,17.02,54.09,HAMDAN PLAZA HOTEL
203,Hirara,JP,84.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
206,Mackay,AU,71.01,broken clouds,-21.15,149.2,International Lodge Motel
213,Port-Gentil,GA,77.0,overcast clouds,-0.72,8.78,Fengshui Residence
219,Pitimbu,BR,75.2,broken clouds,-7.47,-34.81,Reserva do Abiaí
220,Mamallapuram,IN,82.4,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
221,Tagusao,PH,82.56,broken clouds,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
224,Nador,MA,82.4,clear sky,35.17,-2.93,Hôtel La Giralda
225,Yarmouth,US,75.0,few clouds,41.71,-70.23,The Inn At Cape Cod
227,Darnah,LY,76.44,clear sky,32.77,22.64,زاوية الرفاعي
229,Salinopolis,BR,79.54,broken clouds,-0.61,-47.36,Hotel Salinópolis
230,Porto Nacional,BR,87.8,broken clouds,-10.71,-48.42,Vila Real Hotel
233,Wajir,KE,72.55,scattered clouds,1.75,40.06,Al- Amin lodge
236,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
239,Bandarbeyla,SO,75.9,scattered clouds,9.49,50.81,REER XOOSHLE GROUP
241,Mudanya,TR,77.0,clear sky,40.38,28.88,Doga-Lya Hotel
242,Gizo,SB,82.85,light rain,-8.1,156.84,Imagination Island
255,Tougan,BF,74.39,few clouds,13.07,-3.07,Hôtel SMAK
256,Ishinomaki,JP,86.0,few clouds,38.42,141.3,Hotel Route Inn Ishinomaki Henan Inter
257,Quatre Cocos,MU,71.6,scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
258,Qrendi,MT,77.0,few clouds,35.83,14.46,Ta' Bertu Host Family Bed & Breakfast
264,Banda Aceh,ID,80.04,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
265,Timizart,DZ,77.4,clear sky,36.8,4.27,yefssah restaurant
266,Vrangel,RU,71.46,broken clouds,42.73,133.08,"Отель ""БАЛИ"""
268,Mayo,US,77.0,moderate rain,38.89,-76.51,Resorts Resource Group International
269,San Quintin,MX,76.73,scattered clouds,30.48,-115.95,Old Mill Hotel
270,Khorramshahr,IR,86.0,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
271,Marsh Harbour,BS,84.72,broken clouds,26.54,-77.06,Abaco Beach Resort
277,Makakilo City,US,89.6,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
278,Hithadhoo,MV,81.99,overcast clouds,-0.6,73.08,Scoop Guest House
279,Xuddur,SO,72.25,clear sky,4.12,43.89,Banjanay Hotel
284,West Bay,KY,87.8,few clouds,19.37,-81.42,Calypso Cove
287,Caramay,PH,83.08,broken clouds,10.18,119.24,Peace and Love Beach Club
288,Parkersburg,US,82.4,few clouds,39.27,-81.56,The Blennerhassett Hotel
289,La Orilla,MX,81.99,scattered clouds,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
292,Westport,US,80.6,broken clouds,41.14,-73.36,The Westport Inn
