City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Tuatapere,NZ,2020-08-28 20:36:47,-46.13,167.68,45.0,72,18,11.01
71,Camopi,GF,2020-08-28 20:38:59,3.17,-52.32,79.84,89,72,2.64
72,Saint-Joseph,RE,2020-08-28 20:38:59,-21.37,55.62,69.8,73,75,5.82
73,Japura,ID,2020-08-28 20:39:00,-0.32,102.35,73.85,88,100,2.53
74,Torbay,CA,2020-08-28 20:39:00,47.67,-52.73,64.99,55,90,24.16
75,Hobart,AU,2020-08-28 20:39:00,-42.88,147.33,53.6,58,75,16.11
76,Pochutla,MX,2020-08-28 20:34:13,15.74,-96.47,75.2,64,90,2.51
77,Cape Town,ZA,2020-08-28 20:38:50,-33.93,18.42,53.01,71,75,10.29
78,Opuwo,NA,2020-08-28 20:39:00,-18.06,13.84,58.51,38,0,7.9
79,Pisco,PE,2020-08-28 20:34:36,-13.7,-76.22,66.2,72,20,9.17
80,Saint-Philippe,RE,2020-08-28 20:39:00,-21.36,55.77,69.8,73,75,5.82
81,Rio Claro,BR,2020-08-28 20:36:43,-22.41,-47.56,88.0,25,0,5.82
82,Kaitangata,NZ,2020-08-28 20:39:01,-46.28,169.85,46.0,62,53,5.01
83,George,ZA,2020-08-28 20:39:01,-33.96,22.46,50.0,93,85,6.93
84,Aksu,CN,2020-08-28 20:39:01,41.12,80.26,70.81,36,68,8.25
85,Vardo,NO,2020-08-28 20:39:01,70.37,31.11,44.6,75,0,6.93
86,Kavieng,PG,2020-08-28 20:34:25,-2.57,150.8,80.96,82,98,12.28
87,East London,ZA,2020-08-28 20:36:44,-33.02,27.91,61.68,65,75,3.89
88,Ochsenfurt,DE,2020-08-28 20:39:01,49.66,10.06,62.01,93,90,8.05
89,Brooks,CA,2020-08-28 20:39:02,50.58,-111.89,77.0,29,0,1.01
90,Kargopol,RU,2020-08-28 20:39:02,61.51,38.95,52.48,97,100,7.56
91,Petropavlovsk-Kamchatskiy,RU,2020-08-28 20:39:02,53.05,158.65,48.2,100,90,4.97
92,Kapaa,US,2020-08-28 20:39:02,22.08,-159.32,80.6,78,75,10.29
93,Lebanon,US,2020-08-28 20:36:58,36.21,-86.29,77.0,94,75,8.05
94,Richards Bay,ZA,2020-08-28 20:39:02,-28.78,32.04,67.1,77,89,4.56
95,Tiarei,PF,2020-08-28 20:39:03,-17.53,-149.33,80.6,61,20,6.93
96,Dikson,RU,2020-08-28 20:39:03,73.51,80.55,49.03,79,68,7.58
97,Qaqortoq,GL,2020-08-28 20:34:40,60.72,-46.03,60.8,72,75,14.99
98,Batagay,RU,2020-08-28 20:39:03,67.63,134.63,44.71,60,4,1.97
99,Tasiilaq,GL,2020-08-28 20:39:03,65.61,-37.64,41.0,80,100,1.12
100,Kristianstad,SE,2020-08-28 20:39:03,56.03,14.15,57.99,93,88,8.37
101,Laguna,US,2020-08-28 20:39:04,38.42,-121.42,91.99,39,1,5.82
102,Misterbianco,IT,2020-08-28 20:39:04,37.53,14.95,80.6,83,0,8.05
103,Amahai,ID,2020-08-28 20:39:04,-3.33,128.92,81.0,92,90,1.01
104,Bardiyah,LY,2020-08-28 20:39:04,31.76,25.09,75.38,73,0,5.73
105,Cherskiy,RU,2020-08-28 20:39:04,68.75,161.3,43.29,86,75,6.73
106,Ammapettai,IN,2020-08-28 20:39:04,10.8,79.33,84.2,83,40,5.82
107,Ocos,GT,2020-08-28 20:39:04,14.51,-92.19,87.8,66,20,5.82
108,Conde,BR,2020-08-28 20:39:05,-7.26,-34.91,78.8,78,20,13.87
109,Klaksvik,FO,2020-08-28 20:37:05,62.23,-6.59,46.4,87,91,8.05
110,Muisne,EC,2020-08-28 20:39:05,0.6,-80.03,78.8,94,75,6.93
111,Ginda,IN,2020-08-28 20:39:05,30.69,78.49,61.47,82,0,2.73
112,Kodiak,US,2020-08-28 20:36:37,57.79,-152.41,62.6,51,1,9.17
113,Faanui,PF,2020-08-28 20:39:05,-16.48,-151.75,76.15,80,1,20.36
114,Hinckley,GB,2020-08-28 20:39:06,52.54,-1.38,51.01,96,100,14.67
115,Harper,LR,2020-08-28 20:39:06,4.38,-7.72,76.42,84,27,9.15
116,Sharanga,RU,2020-08-28 20:39:06,57.18,46.54,57.56,96,35,4.76
117,Springe,DE,2020-08-28 20:39:06,52.21,9.55,62.6,63,100,2.24
118,Bredasdorp,ZA,2020-08-28 20:39:06,-34.53,20.04,50.0,87,3,10.29
119,Solhan,TR,2020-08-28 20:39:06,38.96,41.03,66.34,30,0,4.12
120,College,US,2020-08-28 20:39:06,64.86,-147.8,54.0,87,90,1.28
121,Voh,NC,2020-08-28 20:39:07,-20.97,164.7,68.4,83,100,7.43
122,Roald,NO,2020-08-28 20:39:07,62.58,6.13,55.0,81,75,14.99
123,Bandarbeyla,SO,2020-08-28 20:35:13,9.49,50.81,75.94,79,5,30.33
124,Noumea,NC,2020-08-28 20:38:35,-22.28,166.46,71.01,93,100,3.36
125,Gonbad-E Qabus,IR,2020-08-28 20:39:07,37.25,55.17,71.6,83,0,2.24
126,Skibbereen,IE,2020-08-28 20:39:07,51.55,-9.27,55.4,82,75,16.11
127,Astoria,US,2020-08-28 20:37:14,46.19,-123.83,70.0,64,1,11.41
128,Port Elizabeth,ZA,2020-08-28 20:34:15,-33.92,25.57,57.2,71,0,6.93
129,Ancud,CL,2020-08-28 20:35:41,-41.87,-73.82,46.99,75,75,17.22
130,Bantou,CN,2020-08-28 20:39:08,26.22,117.49,72.39,85,29,0.25
131,Mahebourg,MU,2020-08-28 20:39:08,-20.41,57.7,71.6,78,20,5.82
132,Pevek,RU,2020-08-28 20:39:08,69.7,170.31,40.57,86,51,2.8
133,Jaque,PA,2020-08-28 20:39:08,7.52,-78.17,79.7,81,100,4.61
134,Fort Smith,US,2020-08-28 20:36:24,35.39,-94.4,96.01,49,1,6.04
135,Sao Filipe,CV,2020-08-28 20:39:08,14.9,-24.5,79.5,84,89,4.85
136,Tachov,CZ,2020-08-28 20:39:08,49.8,12.63,60.01,92,100,3.0
137,Grindavik,IS,2020-08-28 20:39:09,63.84,-22.43,50.0,93,75,12.75
138,Shuyskoye,RU,2020-08-28 20:39:09,59.37,41.03,53.91,96,4,3.74
139,Olga,RU,2020-08-28 20:37:04,43.74,135.29,64.85,94,100,11.01
140,Sitka,US,2020-08-28 20:39:09,57.05,-135.33,55.4,87,90,12.75
141,Lebu,CL,2020-08-28 20:39:09,-37.62,-73.65,46.47,93,99,19.3
142,Along,IN,2020-08-28 20:39:09,28.17,94.77,71.89,90,91,1.45
143,Chopda,IN,2020-08-28 20:39:10,21.25,75.3,76.06,90,100,7.58
144,San Felipe,VE,2020-08-28 20:39:10,10.34,-68.74,82.9,71,9,7.27
145,Linguere,SN,2020-08-28 20:39:10,15.4,-15.12,85.28,66,98,9.46
146,Oblivskaya,RU,2020-08-28 20:35:57,48.54,42.5,64.98,68,33,5.88
147,Kachug,RU,2020-08-28 20:39:10,53.96,105.88,53.33,92,90,2.62
148,Srivardhan,IN,2020-08-28 20:39:10,18.03,73.02,77.67,87,100,6.53
149,Dingle,PH,2020-08-28 20:39:10,11.0,122.67,75.52,88,100,2.68
150,Riyadh,SA,2020-08-28 20:34:22,24.69,46.72,89.6,21,100,4.7
151,Arcachon,FR,2020-08-28 20:39:11,44.59,-1.05,64.4,68,12,6.93
152,Saint Anthony,US,2020-08-28 20:34:34,45.02,-93.22,81.0,65,40,8.05
153,Shimoda,JP,2020-08-28 20:39:11,34.67,138.95,73.99,94,0,2.13
154,Chifeng,CN,2020-08-28 20:39:05,42.27,118.96,58.39,87,99,2.84
155,Sokolovyy,RU,2020-08-28 20:39:11,51.57,45.83,70.0,45,72,1.99
156,Ostrovnoy,RU,2020-08-28 20:39:11,68.05,39.51,49.05,64,49,9.6
157,Arraial Do Cabo,BR,2020-08-28 20:39:11,-22.97,-42.03,75.2,83,0,16.11
158,Khatanga,RU,2020-08-28 20:38:32,71.97,102.5,52.43,57,2,5.53
159,Wieliczka,PL,2020-08-28 20:39:12,49.99,20.06,66.0,72,84,2.24
160,Severo-Kurilsk,RU,2020-08-28 20:39:12,50.68,156.12,51.44,78,49,8.43
161,Lamu,KE,2020-08-28 20:39:12,-2.27,40.9,76.23,81,8,15.86
162,Venado Tuerto,AR,2020-08-28 20:39:12,-33.75,-61.97,73.99,55,71,3.0
163,Tiksi,RU,2020-08-28 20:38:30,71.69,128.87,43.0,83,38,9.24
164,Sobolevo,RU,2020-08-28 20:39:12,54.43,31.9,49.62,93,0,6.53
165,Norman Wells,CA,2020-08-28 20:37:16,65.28,-126.83,50.0,66,90,11.41
166,Sambava,MG,2020-08-28 20:39:12,-14.27,50.17,69.85,80,39,10.38
167,Upernavik,GL,2020-08-28 20:39:13,72.79,-56.15,40.93,69,0,16.13
168,Sofiyivka,UA,2020-08-28 20:39:13,48.05,33.87,61.74,70,0,3.8
169,Yerbogachen,RU,2020-08-28 20:39:13,61.28,108.01,55.78,65,100,3.33
170,Kamina,CD,2020-08-28 20:39:13,-8.74,24.99,71.38,68,1,2.89
171,Lompoc,US,2020-08-28 20:35:53,34.64,-120.46,71.01,68,1,12.75
172,Kaitong,CN,2020-08-28 20:39:13,44.81,123.15,58.69,93,100,7.92
173,Salinopolis,BR,2020-08-28 20:39:13,-0.61,-47.36,81.05,81,81,12.97
174,Horta,PT,2020-08-28 20:39:14,38.53,-28.63,77.0,88,75,12.75
175,Itoman,JP,2020-08-28 20:39:14,26.12,127.67,82.4,88,40,9.17
176,Codrington,AU,2020-08-28 20:39:14,-38.27,141.97,42.66,83,0,11.92
177,The Valley,AI,2020-08-28 20:35:47,18.22,-63.06,87.8,70,20,12.75
178,Ketchikan,US,2020-08-28 20:39:14,55.34,-131.65,57.2,82,90,14.99
179,Tahe,CN,2020-08-28 20:39:14,52.33,124.73,43.14,93,100,3.0
180,Kemin,KG,2020-08-28 20:39:14,42.78,75.69,57.78,50,0,6.17
181,Lodwar,KE,2020-08-28 20:39:15,3.12,35.6,88.23,36,35,7.0
182,Nhamunda,BR,2020-08-28 20:39:15,-2.19,-56.71,82.67,69,100,3.29
183,Malakal,SS,2020-08-28 20:39:15,9.53,31.66,74.86,83,100,1.63
184,Cidreira,BR,2020-08-28 20:39:15,-30.18,-50.21,65.34,80,55,5.73
185,Saint-Leu,RE,2020-08-28 20:39:15,-21.15,55.28,69.8,73,75,5.82
186,Adrar,MR,2020-08-28 20:39:15,20.5,-10.07,99.99,15,21,3.09
187,Berlevag,NO,2020-08-28 20:37:15,70.86,29.09,42.8,75,20,9.17
188,Sioux Lookout,CA,2020-08-28 20:39:15,50.1,-91.92,62.6,93,90,10.29
189,Yatou,CN,2020-08-28 20:39:16,37.15,122.38,70.68,95,87,2.39
190,Pangnirtung,CA,2020-08-28 20:39:16,66.15,-65.71,48.2,81,20,9.17
191,Shelopugino,RU,2020-08-28 20:39:16,51.65,117.56,47.95,81,100,2.95
192,Cockburn Town,TC,2020-08-28 20:38:14,21.46,-71.14,87.8,66,20,11.41
193,Nome,US,2020-08-28 20:39:16,64.5,-165.41,55.99,76,90,4.7
194,Rorvik,NO,2020-08-28 20:39:16,64.86,11.24,50.0,81,40,6.93
195,Sao Joao Da Barra,BR,2020-08-28 20:39:16,-21.64,-41.05,77.0,73,20,20.8
196,Taltal,CL,2020-08-28 20:37:25,-25.4,-70.48,63.68,52,22,8.34
197,La Concepcion,PA,2020-08-28 20:34:48,8.52,-82.62,82.0,88,75,8.05
198,San Quintin,MX,2020-08-28 20:36:50,30.48,-115.95,79.92,60,12,13.15
199,Puerto Ayora,EC,2020-08-28 20:39:17,-0.74,-90.35,75.2,64,48,18.34
200,Port Alfred,ZA,2020-08-28 20:36:45,-33.59,26.89,57.67,70,0,9.28
201,Katangli,RU,2020-08-28 20:34:18,51.71,143.23,49.23,91,14,9.08
202,Ulagan,RU,2020-08-28 20:39:17,50.63,87.96,44.55,80,96,1.86
203,Axim,GH,2020-08-28 20:39:17,4.87,-2.24,74.75,89,83,8.23
204,Santa Maria,BR,2020-08-28 20:39:17,-29.68,-53.81,66.2,88,75,8.05
205,Itarema,BR,2020-08-28 20:39:17,-2.92,-39.92,79.11,72,50,19.26
206,Sistranda,NO,2020-08-28 20:39:18,63.73,8.83,51.8,81,40,5.82
207,Truro,GB,2020-08-28 20:39:18,50.27,-5.05,57.2,87,28,14.99
208,Oussouye,SN,2020-08-28 20:38:18,12.48,-16.55,82.4,83,20,6.93
209,Strezhevoy,RU,2020-08-28 20:39:18,60.73,77.59,57.2,93,20,4.47
210,Kavaratti,IN,2020-08-28 20:39:18,10.57,72.64,81.54,77,100,10.27
211,Saint George,US,2020-08-28 20:39:18,37.1,-113.58,100.4,10,1,5.82
212,Pavilosta,LV,2020-08-28 20:39:18,56.89,21.19,55.4,93,34,1.12
213,Deputatskiy,RU,2020-08-28 20:39:18,69.3,139.9,36.91,89,90,2.57
214,Birin,NP,2020-08-28 20:39:19,26.89,88.07,61.84,100,42,2.77
215,Havre-Saint-Pierre,CA,2020-08-28 20:39:19,50.23,-63.6,55.4,71,90,17.22
216,Tortel,HU,2020-08-28 20:39:19,47.12,19.94,71.6,56,52,4.7
217,Anori,BR,2020-08-28 20:39:19,-3.77,-61.64,92.21,45,89,1.36
218,Gazanjyk,TM,2020-08-28 20:39:19,39.24,55.52,75.87,20,0,8.77
219,Port Blair,IN,2020-08-28 20:39:16,11.67,92.75,81.55,74,89,6.64
220,Nemuro,JP,2020-08-28 20:39:20,43.32,145.57,68.95,92,12,8.16
221,Georgetown,MY,2020-08-28 20:37:24,5.41,100.34,80.6,88,20,1.12
222,Kruisfontein,ZA,2020-08-28 20:34:46,-34.0,24.73,50.88,77,0,5.93
223,Alofi,NU,2020-08-28 20:39:20,-19.06,-169.92,77.0,61,75,18.34
224,Shenjiamen,CN,2020-08-28 20:39:20,29.96,122.3,79.88,89,92,10.83
225,Parang,PH,2020-08-28 20:39:20,7.37,124.27,75.31,81,100,2.64
226,Bethel,US,2020-08-28 20:39:20,41.37,-73.41,84.0,48,1,8.05
227,Alice Springs,AU,2020-08-28 20:38:14,-23.7,133.88,42.8,33,0,4.7
228,Lagoa,PT,2020-08-28 20:39:21,39.05,-27.98,74.17,92,0,16.78
229,Pueblo Bello,CO,2020-08-28 20:39:21,8.2,-76.53,87.8,66,40,6.93
230,Poum,NC,2020-08-28 20:39:21,-20.23,164.02,71.56,84,90,22.19
231,Luderitz,NA,2020-08-28 20:39:21,-26.65,15.16,55.96,79,0,5.59
232,Alcains,PT,2020-08-28 20:39:21,39.92,-7.46,71.01,47,75,11.99
233,Fuerte Olimpo,PY,2020-08-28 20:39:21,-21.04,-57.87,92.5,30,0,1.07
234,Dosso,NE,2020-08-28 20:39:22,13.05,3.19,79.09,77,94,11.95
235,Hernani,ES,2020-08-28 20:39:22,43.27,-1.98,62.6,82,75,9.17
236,Hamilton,US,2020-08-28 20:39:22,39.18,-84.53,82.99,83,20,9.17
237,Thayetmyo,MM,2020-08-28 20:39:22,19.32,95.18,75.2,90,57,3.8
238,Kjollefjord,NO,2020-08-28 20:39:22,70.95,27.35,44.6,75,18,6.93
